 Destination Port	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
443	40323525	6	5	0	31	0	0	0	0	31	0	6.2	13.86362146	0.768781995	0.272793611	4032352.5	5165468.682	10200000	37	40300000	8064705	4516663.552	10200000	113	40300000	10100000	343756.3196	10200000	9552648	0	0	0	0	192	160	0.148796515	0.123997096	0	31	2.583333333	8.948929172	80.08333333	0	0	0	0	1	0	0	0	0	2.818181818	0	6.2	192	0	0	0	0	0	0	6	0	5	31	562	166	0	32	50603.25	253.1381375	50829	50246	10000000	318395.0897	10200000	9552648	BENIGN
80	15063	3	2	18	0	6	6	6	0	0	0	0	0	1194.981079	331.9391887	3765.75	6888.130824	14093	44	970	485	107.4802307	561	409	15019	15019	0	15019	15019	0	0	0	0	60	64	199.1635132	132.7756755	0	6	4	3.098386677	9.6	1	0	0	0	0	0	0	0	0	4.8	6	0	60	0	0	0	0	0	0	3	18	2	0	0	235	2	20	0	0	0	0	0	0	0	0	DoS Hulk
53	586725	2	2	68	160	34	34	34	0	80	80	80	0	388.5977247	6.817503941	195575	338702.5362	586675	2	2	2	0	2	2	48	48	0	48	48	0	0	0	0	64	64	3.408751971	3.408751971	34	80	52.4	25.19523765	634.8	0	0	0	0	0	0	0	0	1	65.5	34	80	64	0	0	0	0	0	0	2	68	2	160	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
53	48954	4	2	148	194	37	37	37	0	97	97	97	0	6986.150264	122.5640397	9790.8	13921.16794	29800	3	19150	6383.333333	11050.19549	19143	3	4	4	0	4	4	0	0	0	0	104	40	81.70935981	40.8546799	37	97	54.14285714	29.27700219	857.1428571	0	0	0	0	0	0	0	0	0	63.16666667	37	97	104	0	0	0	0	0	0	4	148	2	194	-1	-1	3	20	0	0	0	0	0	0	0	0	BENIGN
443	393244	2	0	0	0	0	0	0	0	0	0	0	0	0	5.085900866	393244	0	393244	393244	393244	393244	0	393244	393244	0	0	0	0	0	0	0	0	0	64	0	5.085900866	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	311	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
80	83665185	6	6	360	11595	360	0	60	146.9693846	5792	0	1932.5	2181.008184	142.8909767	0.143428835	7605925.909	25200000	83500000	1	83500000	16700000	37400000	83500000	1	138495	27699	55871.01379	127289	18	0	0	0	0	200	200	0.071714417	0.071714417	0	5792	919.6153846	1715.782598	2943909.923	0	0	0	0	1	0	0	0	1	996.25	60	1932.5	200	0	0	0	0	0	0	6	360	6	11595	274	235	1	32	5	0	5	5	83500000	0	83500000	83500000	DoS Hulk
443	117468396	23	23	1419	12677	517	0	61.69565217	153.774757	3312	0	551.173913	978.2061807	119.9982334	0.391594689	2610408.8	4395531.078	10200000	18	117000000	5339472.545	5053573.415	10300000	18	114000000	5181824.909	5169994.098	10300000	47	0	0	0	0	744	744	0.195797345	0.195797345	0	3312	299.9148936	728.5919365	530846.21	0	0	0	1	0	0	0	0	1	306.4347826	61.69565217	551.173913	744	0	0	0	0	0	0	23	1419	23	12677	29200	126	5	32	169322.7273	457880.709	1549885	31165	10200000	58971.2697	10200000	10000000	BENIGN
53	48847	2	2	66	230	33	33	33	0	115	115	115	0	6059.737548	81.88834524	16282.33333	28156.80387	48795	4	48	48	0	48	48	4	4	0	4	4	0	0	0	0	40	80	40.94417262	40.94417262	33	115	65.8	44.91324972	2017.2	0	0	0	0	0	0	0	0	1	82.25	33	115	40	0	0	0	0	0	0	2	66	2	230	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
80	4	2	0	0	0	0	0	0	0	0	0	0	0	0	500000	4	0	4	4	4	4	0	4	4	0	0	0	0	0	0	0	0	0	64	0	500000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	251	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
80	68332581	6	6	335	11595	335	0	55.83333333	136.7631773	5792	0	1932.5	2181.008184	174.587288	0.17561169	6212052.818	20600000	68200000	4	68200000	13600000	30500000	68200000	4	156496	31299.2	62286.31053	142198	46	0	0	0	0	200	200	0.087805845	0.087805845	0	5792	917.6923077	1716.475963	2946289.731	0	0	0	0	1	0	0	0	1	994.1666667	55.83333333	1932.5	200	0	0	0	0	0	0	6	335	6	11595	251	235	1	32	989	0	989	989	68200000	0	68200000	68200000	DoS Hulk
443	115568342	21	19	796	7407	349	0	37.9047619	85.63813681	2284	0	389.8421053	707.8895287	70.97964597	0.346115548	2963290.821	4543756.34	10000000	3	116000000	5778417.1	4942364.956	10000000	3	110000000	6137846.167	5019857.71	10000000	48	0	0	0	0	432	524	0.181710663	0.164404885	0	2284	200.0731707	510.9585791	261078.6695	0	0	0	1	0	0	0	0	0	205.075	37.9047619	389.8421053	432	0	0	0	0	0	0	21	796	19	7407	8192	62	20	20	36440	45356.89041	180467	23203	9594254.917	1426755.57	10000000	5063721	BENIGN
53	162	2	2	64	148	32	32	32	0	74	74	74	0	1308641.975	24691.35802	54	88.33459119	156	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	64	64	12345.67901	12345.67901	32	74	48.8	23.00434742	529.2	0	0	0	0	0	0	0	0	1	61	32	74	64	0	0	0	0	0	0	2	64	2	148	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
443	5652756	9	9	385	3015	198	0	42.77777778	70.49074013	1432	0	335	541.6472561	601.4765187	3.184287452	332515.0588	1323831.847	5469147	3	5652756	706594.5	1924502.712	5469147	48	132547	16568.375	31060.07535	78710	3	0	0	0	0	192	192	1.592143726	1.592143726	0	1432	178.9473684	394.7487912	155826.6082	0	0	0	1	0	0	0	0	1	188.8888889	42.77777778	335	192	0	0	0	0	0	0	9	385	9	3015	8192	62	8	20	183561	0	183561	183561	5469147	0	5469147	5469147	BENIGN
80	4	2	0	0	0	0	0	0	0	0	0	0	0	0	500000	4	0	4	4	4	4	0	4	4	0	0	0	0	0	0	0	0	0	64	0	500000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	251	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
53	145226	2	2	72	104	36	36	36	0	52	52	52	0	1211.904204	27.54327737	48408.66667	83841.07404	145220	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	64	64	13.77163869	13.77163869	36	52	42.4	8.76356092	76.8	0	0	0	0	0	0	0	0	1	53	36	52	64	0	0	0	0	0	0	2	72	2	104	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
80	99467968	7	7	438	11595	414	0	62.57142857	154.991244	7240	0	1656.428571	2698.609263	120.9736184	0.140748829	7651382.154	27500000	99300000	1	99300000	16600000	40500000	99300000	1	99500000	16600000	40500000	99300000	10	0	0	0	0	184	232	0.070374414	0.070374414	0	7240	802.6	1953.208269	3815022.543	1	0	0	0	0	0	0	0	1	859.9285714	62.57142857	1656.428571	184	0	0	0	0	0	0	7	438	7	11595	0	235	4	20	16954	0	16954	16954	99300000	0	99300000	99300000	DoS Hulk
80	85564026	8	6	345	11595	339	0	43.125	119.5699885	5792	0	1932.5	2181.008184	139.5446259	0.163620164	6581848.154	23700000	85400000	1	85400000	12200000	32300000	85400000	1	186395	37279	75615.85868	172116	46	0	0	0	0	252	200	0.093497237	0.070122928	0	5792	796	1621.33186	2628717	0	0	0	0	1	0	0	0	0	852.8571429	43.125	1932.5	252	0	0	0	0	0	0	8	345	6	11595	274	235	2	20	991	0	991	991	85400000	0	85400000	85400000	DoS Hulk
53	235624	2	2	70	252	35	35	35	0	126	126	126	0	1366.584049	16.97619937	78541.33333	135992.5483	235572	4	4	4	0	4	4	48	48	0	48	48	0	0	0	0	40	40	8.488099684	8.488099684	35	126	71.4	49.84275273	2484.3	0	0	0	0	0	0	0	0	1	89.25	35	126	40	0	0	0	0	0	0	2	70	2	252	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
80	99952668	5	7	314	11595	302	0	62.8	133.750514	4344	0	1656.428571	1760.597234	119.1463944	0.120056825	9086606.182	30100000	99800000	17	99800000	25000000	49900000	99800000	21	100000000	16700000	40700000	99800000	17	0	0	0	0	144	232	0.050023677	0.070033148	0	4344	916.5384615	1499.312654	2247938.436	1	0	0	0	0	0	0	0	1	992.9166667	62.8	1656.428571	144	0	0	0	0	0	0	5	314	7	11595	0	235	2	20	9997	0	9997	9997	99800000	0	99800000	99800000	DoS Hulk
80	1000	5	0	6	0	6	0	1.2	2.683281573	0	0	0	0	6000	5000	250	496.6675615	995	1	1000	250	496.6675615	995	1	0	0	0	0	0	0	0	0	0	148	0	5000	0	0	6	1	2.449489743	6	0	0	0	0	1	0	0	0	0	1.2	1.2	0	148	0	0	0	0	0	0	5	6	0	0	251	-1	1	20	0	0	0	0	0	0	0	0	DoS Hulk
53	50094	1	1	56	116	56	56	56	0	116	116	116	0	3433.544936	39.92494111	50094	0	50094	50094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	19.96247056	19.96247056	56	116	76	34.64101615	1200	0	0	0	0	0	0	0	0	1	114	56	116	32	0	0	0	0	0	0	1	56	1	116	-1	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
80	5707346	3	1	0	0	0	0	0	0	0	0	0	0	0	0.700851149	1902448.667	3209050.485	5607494	83	5707346	2853673	3894491.007	5607494	99852	0	0	0	0	0	0	0	0	0	104	40	0.525638362	0.175212787	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	3	0	1	0	29200	26847	0	32	0	0	0	0	0	0	0	0	BENIGN
443	65731331	18	18	1258	7359	489	0	69.88888889	154.2163831	2940	0	408.8333333	791.3578242	131.094257	0.547684026	1878038.029	3870410.356	10200000	3	61900000	3638965	4989109.762	10200000	170	65700000	3863568.941	4906883.06	10200000	3	0	0	0	0	584	584	0.273842013	0.273842013	0	2940	232.8918919	580.7132484	337227.8769	0	0	0	1	0	0	0	0	1	239.3611111	69.88888889	408.8333333	584	0	0	0	0	0	0	18	1258	18	7359	29200	235	4	32	161205.1667	270300.6597	712954	50627	10100000	71233.3746	10200000	10000000	BENIGN
80	98701709	5	7	350	11595	338	0	70	149.8465882	4344	0	1656.428571	1760.597234	121.0212074	0.121578442	8972882.636	29700000	98600000	4	98700000	24700000	49300000	98600000	4	98700000	16500000	40300000	98700000	48	0	0	0	0	144	232	0.050657684	0.070920758	0	4344	919.3076923	1498.115782	2244350.897	1	0	0	0	0	0	0	0	1	995.9166667	70	1656.428571	144	0	0	0	0	0	0	5	350	7	11595	0	235	2	20	9035	0	9035	9035	98600000	0	98600000	98600000	DoS Hulk
80	119956286	19	15	1718	1658	592	0	90.42105263	214.6142058	553	0	110.5333333	228.8258435	28.14358557	0.283436585	3635038.97	4850382.369	10200000	32	120000000	6664238.111	4847366.879	10200000	2793	110000000	7836876.857	4263380.972	10200000	5696	0	0	0	0	616	488	0.158391033	0.125045552	0	592	96.45714286	215.235349	46326.25546	0	0	0	1	0	0	0	0	0	99.29411765	90.42105263	110.5333333	616	0	0	0	0	0	0	19	1718	15	1658	29200	254	3	32	78680.41667	80866.70808	329752	50296	9917676.75	877849.4822	10200000	7134332	BENIGN
53	53671	1	1	64	117	64	64	64	0	117	117	117	0	3372.398502	37.26407185	53671	0	53671	53671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	18.63203592	18.63203592	64	117	81.66666667	30.59956427	936.3333333	0	0	0	0	0	0	0	0	1	122.5	64	117	20	0	0	0	0	0	0	1	64	1	117	-1	-1	0	20	0	0	0	0	0	0	0	0	BENIGN
80	999	5	0	0	0	0	0	0	0	0	0	0	0	0	5005.005005	249.75	494.8342315	992	1	999	249.75	494.8342315	992	1	0	0	0	0	0	0	0	0	0	160	0	5005.005005	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	160	0	0	0	0	0	0	5	0	0	0	274	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
80	15530	2	2	12	0	6	6	6	0	0	0	0	0	772.6980039	257.5660013	5176.666667	8657.959479	15173	55	357	357	0	357	357	15475	15475	0	15475	15475	0	0	0	0	40	64	128.7830006	128.7830006	0	6	3.6	3.286335345	10.8	1	0	0	0	0	0	0	0	1	4.5	6	0	40	0	0	0	0	0	0	2	12	2	0	0	235	1	20	0	0	0	0	0	0	0	0	DoS Hulk
3268	106278713	22	13	2986	6356	1305	0	135.7272727	379.2933507	2910	0	488.9230769	897.6077894	87.90095153	0.329322769	3125844.5	18200000	106000000	1	106000000	5060887.571	23200000	106000000	1	106000000	8856557.5	30700000	106000000	3	0	0	0	0	728	408	0.207002883	0.122319885	0	2910	259.5	627.4245999	393661.6286	0	0	0	1	0	0	0	0	0	266.9142857	135.7272727	488.9230769	728	0	0	0	0	0	0	22	2986	13	6356	65535	0	10	32	19891	0	19891	19891	106000000	0	106000000	106000000	BENIGN
53	196	2	2	142	398	71	71	71	0	199	199	199	0	2755102.041	20408.16327	65.33333333	107.9645003	190	3	3	3	0	3	3	3	3	0	3	3	0	0	0	0	40	40	10204.08163	10204.08163	71	199	122.2	70.10848736	4915.2	0	0	0	0	0	0	0	0	1	152.75	71	199	40	0	0	0	0	0	0	2	142	2	398	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
80	99197461	7	6	336	11595	336	0	48	126.9960629	4344	0	1932.5	2181.008184	120.2752558	0.131051741	8266455.083	28600000	99200000	2	99200000	16500000	40500000	99200000	2	2028	405.6	785.6811058	1809	2	0	0	0	0	232	200	0.070566322	0.060485419	0	4344	852.2142857	1667.25127	2779726.797	0	0	0	0	1	0	0	0	0	917.7692308	48	1932.5	232	0	0	0	0	0	0	7	336	6	11595	251	235	1	32	1001	0	1001	1001	99200000	0	99200000	99200000	DoS Hulk
80	100453730	7	6	722	11595	352	0	103.1428571	170.0229676	7240	0	1932.5	3126.682571	122.613665	0.129412815	8371144.167	28900000	100000000	50	100000000	16700000	40800000	100000000	1010	100000000	20100000	44700000	100000000	86	0	0	0	0	196	200	0.069683824	0.059728992	0	7240	880.2142857	2160.646776	4668394.489	1	0	0	0	0	0	0	0	0	947.9230769	103.1428571	1932.5	196	0	0	0	0	0	0	7	722	6	11595	0	235	4	20	11002	0	11002	11002	100000000	0	100000000	100000000	DoS Hulk
37845	2	3	0	31	0	31	0	10.33333333	17.89785834	0	0	0	0	15500000	1500000	1	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	96	0	1500000	0	0	31	7.75	15.5	240.25	0	0	0	0	1	0	0	0	0	10.33333333	10.33333333	0	96	0	0	0	0	0	0	3	31	0	0	119	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
80	86507229	9	6	357	11595	357	0	39.66666667	119	4355	0	1932.5	2182.468304	138.1618639	0.173395914	6179087.786	22800000	85500000	1	86500000	10800000	30200000	85500000	1	1756	351.2	393.8695215	921	2	0	0	0	0	304	200	0.104037548	0.069358365	0	4355	747	1579.503762	2494832.133	0	0	0	0	1	0	0	0	0	796.8	39.66666667	1932.5	304	0	0	0	0	0	0	9	357	6	11595	296	235	1	32	1035	0	1035	1035	85500000	0	85500000	85500000	DoS Hulk
80	18603	2	0	0	0	0	0	0	0	0	0	0	0	0	107.5095415	18603	0	18603	18603	18603	18603	0	18603	18603	0	0	0	0	0	0	0	0	0	64	0	107.5095415	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	242	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
80	1469	5	0	0	0	0	0	0	0	0	0	0	0	0	3403.67597	367.25	115.8630657	485	209	1469	367.25	115.8630657	485	209	0	0	0	0	0	0	0	0	0	160	0	3403.67597	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	160	0	0	0	0	0	0	5	0	0	0	274	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
53	23842	2	2	70	102	35	35	35	0	51	51	51	0	7214.159886	167.7711601	7947.333333	13758.25691	23834	4	4	4	0	4	4	4	4	0	4	4	0	0	0	0	64	64	83.88558007	83.88558007	35	51	41.4	8.76356092	76.8	0	0	0	0	0	0	0	0	1	51.75	35	51	64	0	0	0	0	0	0	2	70	2	102	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
80	5897125	3	1	12	0	6	0	4	3.464101615	0	0	0	0	2.034889883	0.678296628	1965708.333	3384517.543	5873790	167	5897125	2948562.5	4136896.404	5873790	23335	0	0	0	0	0	0	0	0	0	72	32	0.508722471	0.169574157	0	6	2.4	3.286335345	10.8	0	0	0	1	0	0	0	0	0	3	4	0	72	0	0	0	0	0	0	3	12	1	0	8192	29200	2	20	0	0	0	0	0	0	0	0	BENIGN
